id,ID PUNTO,note,LATITUDINE,LONGITUDIN,QUOTA,SPECIE,NOME VOLG,natural_monument:criteria,AL IS - H,AL IS - C
2210,001/B510/TO/01,,45.521936,7.541081,1464,Fraxinus excelsior L.,Frassino maggiore,age;shape,16.5,2.6
2212,001/L787/TO/01,,45.137025,8.093447,344,Quercus crenata Lam.,Cerro-Sughera,age;circumference;height;rarity,26,3.82
2213,001/M007/TO/01,,45.099728,7.231675,721,Castanea sativa Mill.,Castagno,age;circumference,14,7.0
2214,002/M007/TO/01,,45.092867,7.204939,1239,Pyrus communis L.,Pero domestico,age;circumference,18.5,3.55
2215,001/D134/VB/01,,46.140213,8.491679,884,Fagus sylvatica L. var. `purpurea`,Faggio rosso,circumference,35.5,4.25
2216,001/D168/VB/01,,46.146132,8.296005,296,Sciadopitys verticillata (Thunb.) Siebold & Zucc.,Koyamaki,circumference;rarity,21,2.5
2217,001/D177/VB/01,,46.204002,8.29872,1340,Picea abies (L.) H. Karst.,Abete rosso,circumference;shape,24,4.1
2218,002/D177/VB/01,,46.230573,8.338295,700,Castanea sativa Mill.,Castagno,age;circumference;historic,17.5,8.7
2219,001/E790/VB/01,,45.97069,7.964248,1317,Tilia platyphyllos Scop.,Tiglio nostrale,age;circumference;shape;landscape;historic,15,8.3
2220,001/E795/VB/01,,45.781139,8.356053,889,Acer pseudoplatanus L.,Acero di monte,circumference;shape,31,3.42
2221,001/F146/VB/01,,45.960375,8.448931,196,Ulmus minor Mill.,Olmo campestre,age;circumference;rarity;landscape;historic,13,5.5
2222,001/G117/VB/01,,45.983641,8.403236,209,Fraxinus excelsior L.,Frassino maggiore,circumference,28.5,3.8
2223,001/G600/VB/01,,46.021865,8.248154,475,Aesculus hippocastanum L.,Ippocastano,age;circumference;shape;landscape,25,4.75
2224,002/H037/VB/01,,46.022567,8.353931,1038,"Quercus petraea subsp. austrotyrrhenica Brullo, R.Guarino & Siracusa",Rovere,age;circumference;shape;landscape,28,4.83
